title, link 
 t_, https://www.w3schools.com  
 t_Tutorials, javascript:void(0) 
 t_References, javascript:void(0) 
 t_Exercises, javascript:void(0) 
 t_Menu, javascript:void(0) 
 t_Login, https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com 
 t_PaidCourses, https://courses.w3schools.com/ 
 t_, javascript:void(0) 
 t_, javascript:void(0) 
 t_, javascript:void(0) 
 t_×, javascript:void(0) 
 t_Tutorials, javascript:void(0); 
 t_References, javascript:void(0); 
 t_Exercises, javascript:void(0); 
 t_PaidCourses, /cert/default.asp 
 t_Shop, https://shop.w3schools.com 
 t_LearnHTML, /html/default.asp 
 t_LearnCSS, /css/default.asp 
 t_LearnBootstrap, /bootstrap/bootstrap_ver.asp 
 t_LearnW3.CSS, /w3css/default.asp 
 t_LearnColors, /colors/default.asp 
 t_LearnIcons, /icons/default.asp 
 t_LearnGraphics, /graphics/default.asp 
 t_LearnSVG, /graphics/svg_intro.asp 
 t_LearnCanvas, /graphics/canvas_intro.asp 
 t_LearnHowTo, /howto/default.asp 
 t_LearnSass, /sass/default.php 
 t_LearnAI, /ai/default.asp 
 t_LearnMachineLearning, /python/python_ml_getting_started.asp 
 t_LearnDataScience, /datascience/default.asp 
 t_LearnNumPy, /python/numpy/default.asp 
 t_LearnPandas, /python/pandas/default.asp 
 t_LearnSciPy, /python/scipy/index.php 
 t_LearnXML, /xml/default.asp 
 t_LearnXMLAJAX, /xml/ajax_intro.asp 
 t_LearnXMLDOM, /xml/dom_intro.asp 
 t_LearnXMLDTD, /xml/xml_dtd_intro.asp 
 t_LearnXMLSchema, /xml/schema_intro.asp 
 t_LearnXSLT, /xml/xsl_intro.asp 
 t_LearnXPath, /xml/xpath_intro.asp 
 t_LearnXQuery, /xml/xquery_intro.asp 
 t_LearnJavaScript, /js/default.asp 
 t_LearnjQuery, /jquery/default.asp 
 t_LearnReact, /react/default.asp 
 t_LearnAngularJS, /angular/default.asp 
 t_LearnJSON, /js/js_json_intro.asp 
 t_LearnAJAX, /js/js_ajax_intro.asp 
 t_LearnAppML, /appml/default.asp 
 t_LearnW3.JS, /w3js/default.asp 
 t_LearnPython, /python/default.asp 
 t_LearnJava, /java/default.asp 
 t_LearnC++, /cpp/default.asp 
 t_LearnC#, /cs/default.asp 
 t_LearnR, /r/default.asp 
 t_LearnSQL, /sql/default.asp 
 t_LearnMySQL, /mysql/default.asp 
 t_LearnPHP, /php/default.asp 
 t_LearnASP, /asp/default.asp 
 t_LearnNode.js, /nodejs/default.asp 
 t_LearnRaspberryPi, /nodejs/nodejs_raspberrypi.asp 
 t_LearnGit, /git/default.asp 
 t_WebTemplates, /w3css/w3css_templates.asp 
 t_WebStatistics, /browsers/default.asp 
 t_WebCertificates, /cert/default.asp 
 t_WebEditor, /tryit/default.asp 
 t_WebDevelopment, /whatis/default.asp 
 t_TestYourTypingSpeed, /typingspeed/default.asp 
 t_PlayaCodeGame, /codegame/index.html 
 t_CyberSecurity, /cybersecurity/index.php 
 t_Accessibility, /accessibility/index.php 
 t_Statistics, /statistics/index.php 
 t_LearnAI, /ai/default.asp 
 t_LearnMachineLearning, /python/python_ml_getting_started.asp 
 t_LearnDataScience, /datascience/default.asp 
 t_LearnNumPy, /python/numpy/default.asp 
 t_LearnPandas, /python/pandas/default.asp 
 t_LearnSciPy, /python/scipy/index.php 
 t_LearnXML, /xml/default.asp 
 t_LearnXMLAJAX, /xml/ajax_intro.asp 
 t_LearnXMLDOM, /xml/dom_intro.asp 
 t_LearnXMLDTD, /xml/xml_dtd_intro.asp 
 t_LearnXMLSchema, /xml/schema_intro.asp 
 t_LearnXSLT, /xml/xsl_intro.asp 
 t_LearnXPath, /xml/xpath_intro.asp 
 t_LearnXQuery, /xml/xquery_intro.asp 
 t_HTMLTagReference, /tags/default.asp 
 t_HTMLBrowserSupport, /tags/ref_html_browsersupport.asp 
 t_HTMLEventReference, /tags/ref_eventattributes.asp 
 t_HTMLColorReference, /colors/default.asp 
 t_HTMLAttributeReference, /tags/ref_attributes.asp 
 t_HTMLCanvasReference, /tags/ref_canvas.asp 
 t_HTMLSVGReference, /graphics/svg_reference.asp 
 t_GoogleMapsReference, /graphics/google_maps_reference.asp 
 t_CSSReference, /cssref/default.asp 
 t_CSSBrowserSupport, /cssref/css3_browsersupport.asp 
 t_CSSSelectorReference, /cssref/css_selectors.asp 
 t_Bootstrap3Reference, /bootstrap/bootstrap_ref_all_classes.asp 
 t_Bootstrap4Reference, /bootstrap4/bootstrap_ref_all_classes.asp 
 t_W3.CSSReference, /w3css/w3css_references.asp 
 t_IconReference, /icons/icons_reference.asp 
 t_SassReference, /sass/sass_functions_string.php 
 t_JavaScriptReference, /jsref/default.asp 
 t_HTMLDOMReference, /jsref/default.asp 
 t_jQueryReference, /jquery/jquery_ref_overview.asp 
 t_AngularJSReference, /angular/angular_ref_directives.asp 
 t_AppMLReference, /appml/appml_reference.asp 
 t_W3.JSReference, /w3js/w3js_references.asp 
 t_PythonReference, /python/python_reference.asp 
 t_JavaReference, /java/java_ref_keywords.asp 
 t_SQLReference, /sql/sql_ref_keywords.asp 
 t_MySQLReference, /mysql/mysql_ref_functions.asp 
 t_PHPReference, /php/php_ref_overview.asp 
 t_ASPReference, /asp/asp_ref_response.asp 
 t_XMLDOMReference, /xml/dom_nodetype.asp 
 t_XMLHttpReference, /xml/dom_http.asp 
 t_XSLTReference, /xml/xsl_elementref.asp 
 t_XMLSchemaReference, /xml/schema_elements_ref.asp 
 t_HTMLCharacterSets, /charsets/default.asp 
 t_HTMLASCII, /charsets/ref_html_ascii.asp 
 t_HTMLANSI, /charsets/ref_html_ansi.asp 
 t_HTMLWindows-1252, /charsets/ref_html_ansi.asp 
